batiment_groupe_id,annee_construction,mat_toit_txt
63113000KM0094_b0eb89fc3c0af75,1972.0,BETON
63113000KN0040_1a0815741cb962b,1967.0,BETON
63124000AZ0151_636ba1cc6aa0a62,2015.0,TUILES
63300000BX0015_afb08a2bfcf317d,1750.0,
69027000BE0069_09816dc9cca3688,2017.0,INDETERMINE
69152000AH0315_5ab044b9b3a208d,2013.0,INDETERMINE
69244000AP0201_2690191c7909f22,2010.0,TUILES
69244000AP0201_3be29c29c6928ca,2010.0,INDETERMINE
69244000AS0166_4c29b14681bfe59,1870.0,TUILES
69259000BL0102_698535325b3ec55,2003.0,BETON
69264000AB0277_b7e088bf38df304,2003.0,INDETERMINE
69264000AH0053_0ff8266e86c8a1c,1800.0,TUILES
69264000AN0002_3081e77466cf849,2008.0,INDETERMINE
69266000BL0323_65f37b1b1e08fb5,1895.0,TUILES - ZINC ALUMINIUM
69266000BN0131_7ef0d8c1afb5caf,1870.0,TUILES
69266000BT0249_5e20ff39c6a3e65,1977.0,BETON
69266000BV0098_a704b8bd9be580a,2013.0,BETON
69266000CK0053_17c9b70217f147a,1992.0,BETON
69278000AI0523_ea9e1f301c04af7,1999.0,TUILES
69290000CM0185_c8a1b2a579c263c,2019.0,INDETERMINE
69381000AP0291_633fd33ba4643e6,1890.0,
69382000AW0117_d1279a0ffb7f29f,1820.0,TUILES
69382000BC0166_00bf364ad01dd89,2010.0,BETON
69383000AH0138_b843e5f27235479,1961.0,ZINC ALUMINIUM
69383000AV0011_8ef958d92f49239,1994.0,INDETERMINE
69383000AZ0188_2f26bc04607278c,1991.0,TUILES
69383000BI0059_cd0159de70e7a12,1989.0,BETON
69383000BK0036_5c23558553fd1fd,1958.0,TUILES
69383000BK0036_87a8efafb3e5c70,,
69383000BK0036_a551f596dcadd4c,,
69383000BK0042_eee7142dfe867c4,2013.0,INDETERMINE
69383000CS0058_62f9353039c3a31,1974.0,
69383000DY0023_d0cd677a8529a8b,2018.0,INDETERMINE
69384000AO0092_53e7fc62c7e4dbf,1963.0,TUILES
69384000AV0030_d215c2e0eadcbb1,1830.0,TUILES
69384000AW0249_d058a19315533dc,1830.0,TUILES
69385000AP0029_7ff1c9848fb387f,1870.0,TUILES
69386000AP0111_375e6db1bee9c28,1880.0,TUILES
69386000AS0114_fb8a93e34b58ce0,2010.0,TUILES
69386000BE0123_3ae3ec650dcf9c9,2002.0,
69387000AM0016_049b88de3d9ed7b,1950.0,TUILES
